web-scraper-order	web-scraper-start-url	Date	Open	High	Low	Close	Volume	Market Cap
1522067380-155	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	3-Mar-18	"11,101.90"	"11,528.20"	"11,002.40"	"11,489.70"	"6,690,570,000"	"187,581,000,000"
1522067380-166	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	2-Mar-18	"10,977.40"	"11,189.00"	"10,850.10"	"11,086.40"	"7,620,590,000"	"185,456,000,000"
1522067380-142	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	1-Mar-18	"10,385.00"	"11,052.30"	"10,352.70"	"10,951.00"	"7,317,280,000"	"175,427,000,000"
1522067380-190	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	28-Feb-18	"10,687.20"	"11,089.80"	"10,393.10"	"10,397.90"	"6,936,190,000"	"180,510,000,000"
1522067380-192	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	27-Feb-18	"10,393.90"	"10,878.50"	"10,246.10"	"10,725.60"	"6,966,180,000"	"175,536,000,000"
1522067380-143	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	26-Feb-18	"9,669.43"	"10,475.00"	"9,501.73"	"10,366.70"	"7,287,690,000"	"163,283,000,000"
1522067380-153	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	25-Feb-18	"9,796.42"	"9,923.22"	"9,407.06"	"9,664.73"	"5,706,940,000"	"165,407,000,000"
1522067380-170	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	24-Feb-18	"10,287.70"	"10,597.20"	"9,546.97"	"9,813.07"	"6,917,930,000"	"173,682,000,000"
1522067380-161	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	23-Feb-18	"9,937.07"	"10,487.30"	"9,734.56"	"10,301.10"	"7,739,500,000"	"167,746,000,000"
1522067380-187	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	22-Feb-18	"10,660.40"	"11,039.10"	"9,939.09"	"10,005.00"	"8,040,080,000"	"179,936,000,000"
1522067380-197	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	21-Feb-18	"11,372.20"	"11,418.50"	"10,479.10"	"10,690.40"	"9,405,340,000"	"191,927,000,000"
1522067380-175	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	20-Feb-18	"11,231.80"	"11,958.50"	"11,231.80"	"11,403.70"	"9,926,540,000"	"189,536,000,000"
1522067380-211	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	19-Feb-18	"10,552.60"	"11,273.80"	"10,513.20"	"11,225.30"	"7,652,090,000"	"178,055,000,000"
1522067380-215	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	18-Feb-18	"11,123.40"	"11,349.80"	"10,326.00"	"10,551.80"	"8,744,010,000"	"187,663,000,000"
1522067380-135	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	17-Feb-18	"10,207.50"	"11,139.50"	"10,149.40"	"11,112.70"	"8,660,880,000"	"172,191,000,000"
1522067380-146	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	16-Feb-18	"10,135.70"	"10,324.10"	"9,824.82"	"10,233.90"	"7,296,160,000"	"170,960,000,000"
1522067380-176	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	15-Feb-18	"9,488.32"	"10,234.80"	"9,395.58"	"10,166.40"	"9,062,540,000"	"160,025,000,000"
1522067380-131	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	14-Feb-18	"8,599.92"	"9,518.54"	"8,599.92"	"9,494.63"	"7,909,820,000"	"145,023,000,000"
1522067380-141	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	13-Feb-18	"8,926.72"	"8,958.47"	"8,455.41"	"8,598.31"	"5,696,720,000"	"150,516,000,000"
1522067380-205	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	12-Feb-18	"8,141.43"	"8,985.92"	"8,141.43"	"8,926.57"	"6,256,440,000"	"137,258,000,000"
1522067380-168	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	11-Feb-18	"8,616.13"	"8,616.13"	"7,931.10"	"8,129.97"	"6,122,190,000"	"145,245,000,000"
1522067380-218	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	10-Feb-18	"8,720.08"	"9,122.55"	"8,295.47"	"8,621.90"	"7,780,960,000"	"146,981,000,000"
1522067380-164	https://coinmarketcap.com/currencies/bitcoin/historical-data/?start=20171226&end=20180326	9-Feb-18	"8,271.84"	"8,736.98"	"7,884.71"	"8,736.98"	"6,784,820,000"	"139,412,000,000"
